,Unnamed: 0,State,Abbrev,Population,Percent_Catholic,Count,NormalizedCount,Accused,Incriminated,Other
0,0,Alabama,AL,4779736,0.07,14,2.9290320637,8.0,6,0.0
1,1,Alaska,AK,710231,0.16,54,76.0316009862,32.0,21,1.0
2,2,Arizona,AZ,6392017,0.21,61,9.54315359299,26.0,35,0.0
3,3,Arkansas,AR,2915918,0.08,2,0.685890343967,0.0,2,0.0
4,4,California,CA,37253956,0.28,503,13.5019217825,146.0,352,5.0
5,5,Colorado,CO,5029196,0.16,29,5.76632925024,6.0,21,2.0
6,6,Connecticut,CT,3574097,0.33,90,25.1811856253,23.0,65,2.0
7,7,Delaware,DE,897934,0.22,38,42.3193686841,16.0,21,1.0
8,8,District of Columbia,DC,601723,0.2,27,44.8711450285,6.0,21,0.0
9,9,Florida,FL,18801310,0.21,101,5.37196610236,29.0,72,0.0
10,10,Georgia,GA,9687653,0.09,8,0.825793409405,3.0,5,0.0
11,11,Hawaii,HI,1360301,0.2,18,13.2323654838,3.0,15,0.0
12,12,Idaho,ID,1567582,0.1,7,4.4654761282,3.0,4,0.0
13,13,Illinois,IL,12830632,0.28,238,18.5493590651,108.0,130,0.0
14,14,Indiana,IN,6483802,0.18,47,7.24883332341,27.0,20,0.0
15,15,Iowa,IA,3046355,0.18,82,26.9174144182,44.0,37,1.0
16,16,Kansas,KS,2853118,0.18,21,7.36036855118,12.0,9,0.0
17,17,Kentucky,KY,4339367,0.1,99,22.8143874441,16.0,83,0.0
18,18,Louisiana,LA,4533372,0.26,75,16.5439765367,28.0,44,3.0
19,19,Maine,ME,1328361,0.21,49,36.8875629441,40.0,8,1.0
20,20,Maryland,MD,5773552,0.15,68,11.7778449038,51.0,17,0.0
21,21,Massachusetts,MA,6547629,0.34,376,57.4253672589,177.0,194,5.0
22,22,Michigan,MI,9883640,0.18,112,11.3318574938,83.0,29,0.0
23,23,Minnesota,MN,5303925,0.22,187,35.2569087987,107.0,78,2.0
24,24,Mississippi,MS,2967297,0.04,8,2.69605637723,2.0,6,0.0
25,25,Missouri,MO,5988927,0.16,108,18.033280419,39.0,69,0.0
26,26,Montana,MT,989415,0.17,50,50.534912044,5.0,45,0.0
27,27,Nebraska,NE,1826341,0.23,15,8.21314310964,7.0,8,0.0
28,28,Nevada,NV,2700551,0.25,6,2.22176881681,4.0,2,0.0
29,29,New Hampshire,NH,1316470,0.26,90,68.3646418073,48.0,42,0.0
30,30,New Jersey,NJ,8791894,0.34,148,16.8336879403,57.0,89,2.0
31,31,New Mexico,NM,2059179,0.34,71,34.4797611087,28.0,43,0.0
32,32,New York,NY,19378102,0.31,297,15.3265784234,128.0,166,3.0
33,33,North Carolina,NC,9535483,0.09,14,1.46820040474,7.0,6,1.0
34,34,North Dakota,ND,672591,0.26,13,19.3282395988,9.0,4,0.0
35,35,Ohio,OH,11536504,0.18,137,11.8753480257,77.0,57,3.0
36,36,Oklahoma,OK,3751351,0.08,8,2.13256504123,3.0,5,0.0
37,37,Oregon,OR,3831074,0.12,93,24.2751771435,32.0,61,0.0
38,38,Pennsylvania,PA,12702379,0.24,278,21.8856640949,151.0,124,3.0
39,39,Rhode Island,RI,1052567,0.42,35,33.2520400127,10.0,24,1.0
40,40,South Carolina,SC,4625364,0.1,12,2.59439040906,5.0,7,0.0
41,41,South Dakota,SD,814180,0.22,32,39.303348154,5.0,27,0.0
42,42,Tennessee,TN,6346105,0.06,17,2.6788084975,6.0,11,0.0
43,43,Texas,TX,25145561,0.23,127,5.05059322399,49.0,78,0.0
44,44,Utah,UT,2763885,0.05,4,1.44723821722,2.0,2,0.0
45,45,Vermont,VT,625741,0.22,15,23.9715792956,6.0,9,0.0
46,46,Virginia,VA,8001024,0.12,22,2.74964804505,13.0,9,0.0
47,47,Washington,WA,6724540,0.17,91,13.5325241578,38.0,53,0.0
48,48,West Virginia,WV,1852994,0.06,6,3.23800292931,1.0,5,0.0
49,49,Wisconsin,WI,5686986,0.25,121,21.2766481226,71.0,46,4.0
50,50,Wyoming,WY,563626,0.14,2,3.54845234251,0.0,2,0.0
